,instrument,quantity,underlying,expiry,strike,put_call,underlying-expiry,time_to_expiry,underlying_price,timestamp,mark_iv,instrument_name,index_price,greeks,bid_iv,ask_iv,best_bid_price,best_ask_price,cost_of_carry_rate,multiplier,rate,vol,spot,atm_strike,atm_ivol,timestamp_atm_ivol,delta,position_delta,vega,position_vega
0,BTC-27DEC24,-10,BTC,2024-12-27,,,BTC-27DEC24,0.3726027397260274,,1723588174427.0,,BTC-27DEC24,60635.96,,,,63040.0,63042.5,default,1,0.05,,60635.96,61000,62.91,2024-08-13T22:29:57+00:00,1,-606359.6,0,0
1,BTC-27DEC24,-10,BTC,2024-12-27,,,BTC-27DEC24,0.3726027397260274,,1723588174427.0,,BTC-27DEC24,60635.96,,,,63040.0,63042.5,default,1,0.05,,60635.96,61000,62.91,2024-08-13T22:29:57+00:00,1,-606359.6,0,0
2,BTC-27DEC24,-10,BTC,2024-12-27,,,BTC-27DEC24,0.3726027397260274,,1723588174427.0,,BTC-27DEC24,60635.96,,,,63040.0,63042.5,default,1,0.05,,60635.96,61000,62.91,2024-08-13T22:29:57+00:00,1,-606359.6,0,0
3,BTC-27DEC24,-10,BTC,2024-12-27,,,BTC-27DEC24,0.3726027397260274,,1723588174427.0,,BTC-27DEC24,60635.96,,,,63040.0,63042.5,default,1,0.05,,60635.96,61000,62.91,2024-08-13T22:29:57+00:00,1,-606359.6,0,0
4,BTC-PERPETUAL,550,BTC,,,,BTC-PERPETUAL,,,1723588175728.0,,BTC-PERPETUAL,60635.16,,,,60650.0,60650.5,default,1,0.05,,60635.96,,,,1,33349778.0,0,0
5,BTC-PERPETUAL,550,BTC,,,,BTC-PERPETUAL,,,1723588175728.0,,BTC-PERPETUAL,60635.16,,,,60650.0,60650.5,default,1,0.05,,60635.96,,,,1,33349778.0,0,0
6,BTC-PERPETUAL,550,BTC,,,,BTC-PERPETUAL,,,1723588175728.0,,BTC-PERPETUAL,60635.16,,,,60650.0,60650.5,default,1,0.05,,60635.96,,,,1,33349778.0,0,0
7,BTC-PERPETUAL,550,BTC,,,,BTC-PERPETUAL,,,1723588175728.0,,BTC-PERPETUAL,60635.16,,,,60650.0,60650.5,default,1,0.05,,60635.96,,,,1,33349778.0,0,0
8,BTC-25OCT24-44000-P,-50,BTC,2024-10-25,44000.0,put,BTC-25OCT24,0.2,61836.2969,1723588175653.0,62.46,BTC-25OCT24-44000-P,60635.16,"{'rho': -12.14351, 'theta': -18.73773, 'vega': 43.4345, 'gamma': 1e-05, 'delta': -0.08654}",61.79,63.22,0.012,0.013,default,1,0.05,0.6246,60635.96,61000,57.41,2024-08-13T22:29:57+00:00,0,0.0,45,-2250
9,BTC-25OCT24-45000-P,-150,BTC,2024-10-25,45000.0,put,BTC-25OCT24,0.2,61836.1,1723588176660.0,61.51,BTC-25OCT24-45000-P,60635.45,"{'rho': -13.66484, 'theta': -20.12147, 'vega': 47.36709, 'gamma': 1e-05, 'delta': -0.09728}",60.68,61.99,0.0135,0.0145,default,1,0.05,0.6151,60635.96,61000,57.41,2024-08-13T22:29:57+00:00,0,0.0,49,-7350
10,BTC-27DEC24-100000-C,-230,BTC,2024-12-27,100000.0,call,BTC-27DEC24,0.3726027397260274,63045.73,1723588177667.0,67.97,BTC-27DEC24-100000-C,60635.64,"{'rho': 34.56821, 'theta': -25.47305, 'vega': 101.48982, 'gamma': 1e-05, 'delta': 0.18209}",67.48,68.41,0.0335,0.035,default,1,0.05,0.6797,60635.96,61000,62.91,2024-08-13T22:29:57+00:00,0,0.0,93,-21390
11,BTC-27DEC24-105000-C,-135,BTC,2024-12-27,105000.0,call,BTC-27DEC24,0.3726027397260274,63045.75,1723588178675.0,68.6,BTC-27DEC24-105000-C,60635.71,"{'rho': 29.7533, 'theta': -23.25581, 'vega': 91.80037, 'gamma': 1e-05, 'delta': 0.15578}",67.87,69.25,0.0275,0.0295,default,1,0.05,0.6859999999999999,60635.96,61000,62.91,2024-08-13T22:29:57+00:00,0,0.0,84,-11340
12,BTC,100,BTC,,,,,,,,,,,,,,,,default,1,0.05,,60635.96,,,,1,6063596.0,0,0
